passage_id,question,passage
1997_938-20,Kto uchwala regulamin określający szczegółowy tryb działania zarządu NBP?,"Szczegółowy tryb działania Zarządu NBP określa regulamin uchwalony przez 
Zarząd.
                               Rozdział 3
                         NBP a władze państwowe
                                    "
1997_938-7,Kto uchwala regulamin określający szczegółowy tryb działania zarządu NBP?,"1. NBP wykonuje zadania przez Centralę i inne jednostki organizacyjne.
 2. Zarząd NBP w drodze uchwały:
   1) powołuje, przekształca i likwiduje komórki organizacyjne Centrali NBP 
     i inne jednostki organizacyjne,
   2) określa zakres działalności oraz organizację wewnętrzną Centrali NBP i 
     pozostałych jednostek organizacyjnych NBP."
1998_602-94,W jakim terminie wójt musi opublikować informacje o okręgach wyborczych?,"Informację o okręgach wyborczych, ich granicach i numerach, liczbie radnych
wybieranych w każdym okręgu wyborczym oraz o wyznaczonej siedzibie gminnej
komisji wyborczej podaje do publicznej wiadomości wójt (burmistrz,
prezydent miasta), w formie obwieszczenia, najpóźniej w 50 dniu przed dniem
wyborów.
 
                                Rozdział 15
                     Zgłaszanie kandydatów na radnych
                                     "
1998_602-95,W jakim terminie wójt musi opublikować informacje o okręgach wyborczych?,"1. Ustalenia liczby posłów wybieranych w poszczególnych okręgach wyborczych
  oraz podziału województw na okręgi wyborcze dokonuje się według jednolitej
  normy przedstawicielstwa, obliczonej przez podzielenie liczby mieszkańców
  kraju przez ogólną liczbę posłów wybieranych w okręgach wyborczych, z
  uwzględnieniem przepisów art. 136 i następujących zasad:
   1) ułamki liczby mandatów posłów wybieranych w okręgach wyborczych równe
     lub większe od 12, jakie wynikną z zastosowania jednolitej normy
     przedstawicielstwa, zaokrągla się w górę do liczby całkowitej,
   2) jeżeli w wyniku postępowania, o którym mowa w pkt 1, liczba posłów
     wybieranych w okręgach wyborczych przewyższa liczbę wynikającą z
     przepisu art. 132, mandaty nadwyżkowe odejmuje się w tych okręgach
     wyborczych, w których norma przedstawicielstwa obliczona dla okręgu
     wyborczego jest najmniejsza. W wypadku gdy liczba posłów jest mniejsza
     od wynikającej z przepisu art. 132, dodatkowe mandaty przydziela się tym
     okręgom wyborczym, w których norma przedstawicielstwa obliczona dla
     okręgu wyborczego jest największa.
2. Podział na okręgi wyborcze, ich numery i granice oraz liczbę posłów
  wybieranych w każdym okręgu, a także siedziby okręgowych komisji wyborczych
  określa załącznik nr 1 do ustawy.
3. Informację o okręgu wyborczym podaje się do wiadomości wyborcom danego
  okręgu wyborczego w formie obwieszczenia Państwowej Komisji Wyborczej
  najpóźniej w 52 dniu przed dniem wyborów. Druk i rozplakatowanie
  obwieszczeń zapewnia Krajowe Biuro Wyborcze."
2001_1441-59,"Ile wynosi całkowita długość statków rybackich, którą można wykorzystywać w polskich obszarach morskich?","Wykonywanie rybołówstwa morskiego w polskich obszarach morskich odbywa
się przy użyciu statków rybackich o długości całkowitej
nieprzekraczającej 30 m i mocy silnika głównego nieprzekraczającej 611
kW.
                                    "
2001_499-194,Czy partia polityczna wchodząca w skład koalicji może zgłaszać kandydatów na senatorów samodzielnie?,"Do komitetów wyborczych zgłaszających kandydatów na senatorów stosuje się
odpowiednio przepisy ustawy dotyczące komitetów wyborczych, z tym że:
   1) partia polityczna, która wchodzi w skład koalicji wyborczej utworzonej
     w celu wspólnego zgłoszenia kandydatów na posłów i kandydatów na
     senatorów albo tylko w celu wspólnego zgłoszenia kandydatów na
     senatorów, nie może zgłaszać  kandydatów na senatorów samodzielnie,
   2) nazwa i skrót nazwy komitetu wyborczego wyborców utworzonego tylko w
     celu zgłoszenia kandydatów na senatorów muszą być różne od nazw i
     skrótów nazw komitetów wyborczych utworzonych w celu zgłoszenia
     kandydatów na posłów i kandydatów na senatorów albo kandydatów na
     posłów."
2001_499-139,Czy partia polityczna wchodząca w skład koalicji może zgłaszać kandydatów na senatorów samodzielnie?,"1. Komitet wyborczy może zgłosić w każdym okręgu wyborczym jedną okręgową
  listę kandydatów na posłów, zwaną dalej ""listą okręgową"".
2. Kandydować można tylko w jednym okręgu wyborczym i tylko z jednej listy
  okręgowej.
3. Partie polityczne, które wchodzą w skład koalicji wyborczej, nie mogą
  zgłaszać list kandydatów samodzielnie."
1997_117-146,Kiedy organ celny może wyrazić zgodę na zastosowanie procedury odprawy czasowej?," § 1. Z zastrzeżeniem § 2, w wypadku braku możliwości ustalenia tożsamości 
     towarów przywożonych, organ celny nie wydaje pozwolenia na zastosowanie
     procedury odprawy czasowej.
 § 2. Organ celny może wyrazić zgodę na zastosowanie procedury odprawy 
     czasowej w wypadku, gdy brak możliwości ustalenia tożsamości towaru 
     nie spowoduje nadużycia tej procedury.
 "
1995_1-67,"Jakiej karze podlega ktoś, kto utrudnia przeprowadzenie kontroli przestrzeganie przepisów ustawy?","Kto udaremnia lub utrudnia przeprowadzenie kontroli przestrzegania przepisów
ustawy
             podlega karze grzywny.
       
                              Rozdział 10
                   Zmiany w obowiązujących przepisach
                                    "
2000_1250-35,"Jakiej karze podlega ktoś, kto utrudnia przeprowadzenie kontroli przestrzeganie przepisów ustawy?","Kto utrudnia przeprowadzenie kontroli, o której mowa w art. 28 ust. 1, podlega
karze grzywny."
